sport,start_time_weekday_cat,start_time_daytime_cat,start_time_season_cat,duration_s,distance_km,calories_kcal,speed_avg_kmh,speed_max_kmh,start_lat,start_long,end_lat,end_long,hydration_l,created_date_year,created_date_month,created_date_day,created_date_hour,created_date_minute,created_date_second,start_time_year,start_time_month,start_time_day,start_time_hour,start_time_minute,start_time_second,end_time_year,end_time_month,end_time_day,end_time_hour,end_time_minute,end_time_second,sport_BADMINTON,sport_BEACH_VOLLEY,sport_CROSSFIT,sport_CROSS_TRAINING,sport_CYCLING_SPORT,sport_CYCLING_TRANSPORTATION,sport_FITNESS_WALKING,sport_ICE_SKATING,sport_ROLLER_SKATING,sport_RUNNING,sport_RUNNING_CANICROSS,sport_SKIING_CROSS_COUNTRY,sport_STAIR_CLIMBING,sport_STRETCHING,sport_SWIMMING,sport_WALKING,sport_WEIGHT_TRAINING,source_INPUT_MANUAL_MOBILE,source_TRACK_MOBILE,start_time_weekday_Friday,start_time_weekday_Monday,start_time_weekday_Saturday,start_time_weekday_Sunday,start_time_weekday_Thursday,start_time_weekday_Tuesday,start_time_weekday_Wednesday,start_time_daytime_AFTERNOON,start_time_daytime_EVENING,start_time_daytime_MORNING,start_time_daytime_NIGHT,start_time_season_AUTUMN,start_time_season_SPRING,start_time_season_SUMMER,start_time_season_WINTER
WALKING,Thursday,MORNING,WINTER,1614,1.95,145.124,4.3494423791821575,7.2,64.231831,27.729398,64.231829,27.729569,0.13289327687626773,2017,1,5,8,42,51,2017,1,5,8,41,33,2017,1,5,9,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
WALKING,Thursday,EVENING,WINTER,1349,1.66,122.587,4.429948109710897,7.2,64.231839,27.729591,64.231788,27.729505,0.13289327687626773,2017,1,5,18,6,57,2017,1,5,17,46,41,2017,1,5,18,9,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
WALKING,Friday,MORNING,WINTER,1496,1.79,133.768,4.307486631016043,7.2,64.231926,27.729446,64.231984,27.729579,0.13289327687626773,2017,1,6,9,19,39,2017,1,6,8,54,30,2017,1,6,9,19,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
WALKING,Friday,AFTERNOON,WINTER,1398,1.83,131.732,4.712446351931331,8.1,64.231847,27.729267,64.232001,27.729528,0.13289327687626773,2017,1,6,15,4,55,2017,1,6,15,3,19,2017,1,6,15,26,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Saturday,MORNING,WINTER,1878,2.15,163.774,4.121405750798722,9.0,64.231927,27.729505,64.231997,27.72956,0.13289327687626773,2017,1,7,9,34,13,2017,1,7,9,32,44,2017,1,7,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
SWIMMING,Saturday,AFTERNOON,WINTER,1800,1.0,355.088,2.0,2.888888782925076,64.231773,27.729472,64.231809,27.729569,0.17571,2017,1,7,15,23,19,2017,1,7,14,22,0,2017,1,7,14,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Saturday,EVENING,WINTER,2000,2.5700000000000003,186.403,4.626,6.3,64.231773,27.729472,64.231809,27.729569,0.13289327687626773,2017,1,7,17,43,47,2017,1,7,17,41,20,2017,1,7,18,14,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
WALKING,Sunday,MORNING,WINTER,1929,1.94,156.742,3.620528771384136,7.2,64.231707,27.72968,64.231811,27.729542,0.13289327687626773,2017,1,8,7,3,22,2017,1,8,7,2,14,2017,1,8,7,34,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
WALKING,Sunday,AFTERNOON,WINTER,114,0.11,9.06426,3.473684210526316,6.3,65.072574,25.426498,65.073322,25.42705,0.13289327687626773,2017,1,8,13,17,43,2017,1,8,13,15,32,2017,1,8,13,17,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
WALKING,Sunday,AFTERNOON,WINTER,972,1.01,80.3687,3.740740740740741,6.3,65.073497,25.425922,65.071713,25.427159,0.13289327687626773,2017,1,8,13,19,59,2017,1,8,13,18,48,2017,1,8,13,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
WALKING,Monday,MORNING,WINTER,2220,2.32,184.123,3.762162162162162,6.3,64.231837,27.729525,64.231809,27.729543,0.13289327687626773,2017,1,9,9,18,14,2017,1,9,8,40,55,2017,1,9,9,17,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
SKIING_CROSS_COUNTRY,Monday,AFTERNOON,WINTER,2704,7.14,742.863,9.505917159763314,28.8,64.231866,27.729562,64.231799,27.729518,0.36871936842105263,2017,1,9,12,33,28,2017,1,9,12,31,17,2017,1,9,13,16,22,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
WALKING,Tuesday,MORNING,WINTER,766,1.2,99.6118,5.639686684073107,8.1,64.231886,27.72947,64.231805,27.729529,0.13289327687626773,2017,1,10,5,53,36,2017,1,10,5,40,40,2017,1,10,5,53,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
WALKING,Tuesday,AFTERNOON,WINTER,2425,3.12,226.179,4.631752577319588,9.0,64.231822,27.729457,64.231802,27.729541,0.13289327687626773,2017,1,10,16,32,8,2017,1,10,16,31,5,2017,1,10,17,11,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
WALKING,Wednesday,MORNING,WINTER,2445,1.48,152.486,2.179141104294479,8.1,64.232386,27.731113,64.231966,27.729472,0.13289327687626773,2017,1,11,5,10,37,2017,1,11,5,9,27,2017,1,11,5,50,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
BADMINTON,Wednesday,EVENING,WINTER,3600,0.0,540.833,0.0,5.0,64.231905,27.729693,64.213947,27.71628,0.265088,2017,1,11,20,1,18,2017,1,11,18,0,0,2017,1,11,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
WALKING,Thursday,MORNING,WINTER,663,0.87,62.5644,4.723981900452489,9.0,64.231762,27.729542,64.231788,27.729528,0.13289327687626773,2017,1,12,6,0,29,2017,1,12,5,59,15,2017,1,12,6,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
WALKING,Thursday,AFTERNOON,WINTER,2624,3.03,229.94,4.157012195121951,7.2,64.231836,27.729543,64.226094,27.743248,0.13289327687626773,2017,1,12,15,44,58,2017,1,12,15,18,32,2017,1,12,16,2,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
WEIGHT_TRAINING,Thursday,AFTERNOON,WINTER,4200,0.0,688.333,0.0,2.400000035762787,64.231836,27.729543,64.226094,27.743248,0.2025800774647887,2017,1,12,20,23,51,2017,1,12,16,0,0,2017,1,12,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
WALKING,Friday,MORNING,WINTER,2011,2.27,173.992,4.063649925410243,8.1,64.2318,27.7295,64.231827,27.729543,0.13289327687626773,2017,1,13,8,33,47,2017,1,13,8,32,0,2017,1,13,9,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
