6.423196799999999484e+01,2.772924899999999937e+01
6.423196799999999484e+01,2.772924899999999937e+01
6.423186900000000321e+01,2.772937200000000146e+01
6.423180299999999932e+01,2.772943899999999928e+01
6.423174799999999607e+01,2.772944000000000031e+01
6.423167599999999311e+01,2.772941399999999845e+01
6.423163700000000631e+01,2.772950300000000112e+01
6.423161799999999744e+01,2.772961899999999957e+01
6.423160900000000595e+01,2.772967500000000030e+01
6.423163300000000220e+01,2.772979600000000033e+01
6.423166100000000256e+01,2.772988799999999898e+01
6.423168400000000133e+01,2.772995500000000035e+01
6.423172200000000487e+01,2.773002699999999976e+01
6.423174400000000617e+01,2.773006799999999927e+01
6.423179299999999614e+01,2.773013600000000167e+01
6.423181599999999492e+01,2.773017300000000063e+01
6.423186599999999657e+01,2.773023900000000097e+01
6.423189399999999694e+01,2.773033699999999868e+01
6.423191300000000581e+01,2.773039800000000099e+01
6.423193299999999795e+01,2.773045499999999919e+01
6.423193000000000552e+01,2.773056400000000110e+01
6.423188399999999376e+01,2.773063499999999948e+01
6.423185499999999593e+01,2.773068200000000161e+01
6.423182599999999809e+01,2.773077200000000175e+01
6.423188399999999376e+01,2.773063499999999948e+01
6.423191099999999665e+01,2.773049500000000123e+01
6.423193000000000552e+01,2.773039299999999940e+01
6.423187699999999722e+01,2.773030500000000131e+01
6.423183899999999369e+01,2.773022100000000023e+01
6.423181700000000660e+01,2.773021599999999864e+01
6.423178299999999297e+01,2.773012999999999906e+01
6.423176200000000335e+01,2.773008499999999898e+01
6.423171999999999571e+01,2.773002199999999817e+01
6.423168200000000638e+01,2.772992899999999850e+01
6.423164500000000032e+01,2.772986500000000021e+01
6.423164800000000696e+01,2.772986900000000077e+01
6.423163700000000631e+01,2.772976600000000147e+01
6.423162800000000061e+01,2.772970099999999860e+01
6.423163999999999874e+01,2.772959799999999930e+01
6.423164599999999780e+01,2.772951799999999878e+01
6.423167300000000068e+01,2.772943199999999919e+01
6.423173099999999636e+01,2.772949500000000000e+01
6.423178199999999549e+01,2.772949900000000056e+01
6.423182799999999304e+01,2.772955699999999979e+01
6.423187599999999975e+01,2.772958399999999912e+01
6.423187699999999722e+01,2.772959000000000174e+01
6.423182900000000473e+01,2.772961300000000051e+01
6.423176599999999326e+01,2.772966100000000012e+01
6.423165600000000097e+01,2.772977600000000109e+01
6.423166000000000508e+01,2.772988199999999992e+01
6.423167499999999563e+01,2.772998799999999875e+01
